"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","290","Locked-out user cannot reach the inventory","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.NegativeAccessTest","UI Tests","com.saucedemo.tests.NegativeAccessTest","lockedOutUserCannotAccessInventory"
"","155","Sort products by name Z to A","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.InventoryTest","UI Tests","com.saucedemo.tests.InventoryTest","sortByNameZtoA"
"","112","Logout returns the user to the login page","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.NavigationTest","UI Tests","com.saucedemo.tests.NavigationTest","logoutWorks"
"The displayed item total must match the sum of the line items, and the grand total must equal subtotal + tax.","458","Overview subtotal equals the sum of item prices","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.CheckoutTest","UI Tests","com.saucedemo.tests.CheckoutTest","overviewTotalsAreConsistent"
"  As a SauceDemo user
  I want the login form to behave correctly
  So that only valid users can access the store","813","Locked-out user is rejected","","2026-06-28","passed","2026-06-28","","SauceDemo login","Locked-out user is rejected",""
"","241","Missing password shows the required-field error","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.LoginTest","UI Tests","com.saucedemo.tests.LoginTest","missingPasswordShowsError"
"","142","Inventory page loads after login","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.InventoryTest","UI Tests","com.saucedemo.tests.InventoryTest","inventoryPageLoads"
"","162","Add a single item to the cart","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.CartTest","UI Tests","com.saucedemo.tests.CartTest","addSingleItem"
"SauceDemo ships six demo products; all should be rendered.","39","All six products are visible","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.InventoryTest","UI Tests","com.saucedemo.tests.InventoryTest","productListIsVisible"
"locked_out_user must not be able to log in and should see the lock-out error.","346","Locked-out user is rejected with a clear message","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.LoginTest","UI Tests","com.saucedemo.tests.LoginTest","lockedOutUserIsRejected"
"","108","The burger menu opens and closes","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.NavigationTest","UI Tests","com.saucedemo.tests.NavigationTest","menuOpensAndCloses"
"","148","Sort products by price low to high","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.InventoryTest","UI Tests","com.saucedemo.tests.InventoryTest","sortByPriceLowToHigh"
"","231","Missing username shows the required-field error","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.LoginTest","UI Tests","com.saucedemo.tests.LoginTest","missingUsernameShowsError"
"","150","Sort products by name A to Z","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.InventoryTest","UI Tests","com.saucedemo.tests.InventoryTest","sortByNameAtoZ"
"","316","Missing postal code is rejected","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.CheckoutTest","UI Tests","com.saucedemo.tests.CheckoutTest","missingPostalCodeValidation"
"","249","Remove an item from the cart","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.CartTest","UI Tests","com.saucedemo.tests.CartTest","removeItemFromCart"
"The badge should appear, increment, and disappear when the cart empties.","237","Cart badge updates as items are added and removed","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.CartTest","UI Tests","com.saucedemo.tests.CartTest","cartBadgeUpdates"
"","518","Checkout cannot continue while required fields are empty","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.NegativeAccessTest","UI Tests","com.saucedemo.tests.NegativeAccessTest","checkoutBlocksWhenFieldsMissing"
"  As a SauceDemo user
  I want the login form to behave correctly
  So that only valid users can access the store","805","Invalid credentials are rejected","","2026-06-28","passed","2026-06-28","","SauceDemo login","Invalid credentials are rejected",""
"","317","Add multiple items to the cart","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.CartTest","UI Tests","com.saucedemo.tests.CartTest","addMultipleItems"
"","294","Missing last name is rejected","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.CheckoutTest","UI Tests","com.saucedemo.tests.CheckoutTest","missingLastNameValidation"
"","384","Selected items persist when navigating back to the inventory","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.CartTest","UI Tests","com.saucedemo.tests.CartTest","cartPersistsAcrossNavigation"
"  As a SauceDemo user
  I want the login form to behave correctly
  So that only valid users can access the store","924","Standard user logs in successfully","","2026-06-28","passed","2026-06-28","","SauceDemo login","Standard user logs in successfully",""
"Hitting /inventory.html directly without a session must not expose the page.","157","Protected pages redirect unauthenticated users to login","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.NegativeAccessTest","UI Tests","com.saucedemo.tests.NegativeAccessTest","protectedPageRedirectsWhenNotLoggedIn"
"From a populated cart, a customer can complete checkout end to end.","454","Complete the full checkout flow successfully","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.CheckoutTest","UI Tests","com.saucedemo.tests.CheckoutTest","successfulCheckout"
"","450","Order completion message is displayed","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.CheckoutTest","UI Tests","com.saucedemo.tests.CheckoutTest","orderCompletionMessageIsShown"
"","237","Reset app state clears the cart","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.NavigationTest","UI Tests","com.saucedemo.tests.NavigationTest","resetAppStateClearsCart"
"","527","Invalid username/password is rejected","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.LoginTest","UI Tests","com.saucedemo.tests.LoginTest","invalidCredentialsAreRejected"
"A valid standard_user should be authenticated and land on the inventory page.","579","Standard user can log in successfully","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.LoginTest","UI Tests","com.saucedemo.tests.LoginTest","standardUserCanLogIn"
"","143","Sort products by price high to low","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.InventoryTest","UI Tests","com.saucedemo.tests.InventoryTest","sortByPriceHighToLow"
"  As a SauceDemo user
  I want the login form to behave correctly
  So that only valid users can access the store","827","Invalid credentials are rejected","","2026-06-28","passed","2026-06-28","","SauceDemo login","Invalid credentials are rejected",""
"","352","Missing first name is rejected","SauceDemo Regression","2026-06-28","passed","2026-06-28","com.saucedemo.tests.CheckoutTest","UI Tests","com.saucedemo.tests.CheckoutTest","missingFirstNameValidation"
